N587NW,Boeing 757-351,Delta Air Lines,Delta Air Lines,B753,DL / DAL,A7912A
N197PQ,Mitsubishi CRJ-900LR,Delta Connection,Endeavor Air,CRJ9,9E / EDV,A18380
N183UW,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A14DA8
plane_code,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,Code,MODE S
N322US,Airbus A320-211,Delta Air Lines,Delta Air Lines,A320,DL / DAL,A37791
N472UA,Airbus A320-232,United Airlines,United Airlines,A320,UA / UAL,A5CA4B
N69063,Boeing 767-424(ER),United Airlines,United Airlines,B764,UA / UAL,A92DFC
N407AS,Boeing 737-990(ER),Alaska Airlines,Alaska Airlines,B739,AS / ASA,A4C6B3
N3744F,Boeing 737-832,Delta Air Lines,Delta Air Lines,B738,DL / DAL,A44591
N37298,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A43EED
N818UA,Airbus A319-131,United Airlines,United Airlines,A319,UA / UAL,AB28D7
N587NW,Boeing 757-351,Delta Air Lines,Delta Air Lines,B753,DL / DAL,A7912A
N197PQ,Mitsubishi CRJ-900LR,Delta Connection,Endeavor Air,CRJ9,9E / EDV,A18380
N183UW,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A14DA8
N16234,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A0FBFA
plane_code,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,Code,MODE S
N322US,Airbus A320-211,Delta Air Lines,Delta Air Lines,A320,DL / DAL,A37791
N472UA,Airbus A320-232,United Airlines,United Airlines,A320,UA / UAL,A5CA4B
N69063,Boeing 767-424(ER),United Airlines,United Airlines,B764,UA / UAL,A92DFC
N407AS,Boeing 737-990(ER),Alaska Airlines,Alaska Airlines,B739,AS / ASA,A4C6B3
N3744F,Boeing 737-832,Delta Air Lines,Delta Air Lines,B738,DL / DAL,A44591
N37298,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A43EED
N818UA,Airbus A319-131,United Airlines,United Airlines,A319,UA / UAL,AB28D7
N587NW,Boeing 757-351,Delta Air Lines,Delta Air Lines,B753,DL / DAL,A7912A
N197PQ,Mitsubishi CRJ-900LR,Delta Connection,Endeavor Air,CRJ9,9E / EDV,A18380
N183UW,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A14DA8
N16234,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A0FBFA
N171US,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A11EB7
plane_code,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,Code,MODE S
N322US,Airbus A320-211,Delta Air Lines,Delta Air Lines,A320,DL / DAL,A37791
N472UA,Airbus A320-232,United Airlines,United Airlines,A320,UA / UAL,A5CA4B
N69063,Boeing 767-424(ER),United Airlines,United Airlines,B764,UA / UAL,A92DFC
N407AS,Boeing 737-990(ER),Alaska Airlines,Alaska Airlines,B739,AS / ASA,A4C6B3
N3744F,Boeing 737-832,Delta Air Lines,Delta Air Lines,B738,DL / DAL,A44591
N37298,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A43EED
N818UA,Airbus A319-131,United Airlines,United Airlines,A319,UA / UAL,AB28D7
N587NW,Boeing 757-351,Delta Air Lines,Delta Air Lines,B753,DL / DAL,A7912A
N197PQ,Mitsubishi CRJ-900LR,Delta Connection,Endeavor Air,CRJ9,9E / EDV,A18380
N183UW,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A14DA8
N16234,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A0FBFA
N171US,Airbus A321-211,American Airlines,American Airlines,A321,AA / AAL,A11EB7
N12172,Embraer ERJ-145XR,United Express,CommutAir,E45X,C5 / UCA,A05AD1
plane_code,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,Code,MODE S
N322US,Airbus A320-211,Delta Air Lines,Delta Air Lines,A320,DL / DAL,A37791
N472UA,Airbus A320-232,United Airlines,United Airlines,A320,UA / UAL,A5CA4B
N69063,Boeing 767-424(ER),United Airlines,United Airlines,B764,UA / UAL,A92DFC
N407AS,Boeing 737-990(ER),Alaska Airlines,Alaska Airlines,B739,AS / ASA,A4C6B3
N3744F,Boeing 737-832,Delta Air Lines,Delta Air Lines,B738,DL / DAL,A44591
N37298,Boeing 737-824,United Airlines,United Airlines,B738,UA / UAL,A43EED
N818UA,Airbus A319-131,United Airlines,United Airlines,A319,UA / UAL,AB28D7
N587NW,Boeing 757-351,Delta Air Lines,Delta Air Lines,B753,DL / DAL,A7912A
N197PQ,Mitsubishi CRJ-900LR,Delta Connection,Endeavor Air,CRJ9,9E / EDV,A18380
